"MovieTitle","MovieID","MovieURL","ReleaseYear","MovieRating","MovieNumUserRatings"
"The Internship","tt2234155","http://www.imdb.com/title/tt2234155/",2013,6.3,149768
"The Bling Ring","tt2132285","http://www.imdb.com/title/tt2132285/",2013,5.6,63000
"This Is the End","tt1245492","http://www.imdb.com/title/tt1245492/",2013,6.7,289097
"After Earth","tt1815862","http://www.imdb.com/title/tt1815862/",2013,4.9,149906
"Behind the Candelabra","tt1291580","http://www.imdb.com/title/tt1291580/",2013,7,30320
"Fast & Furious 6","tt1905041","http://www.imdb.com/title/tt1905041/",2013,7.2,281081
"Epic","tt0848537","http://www.imdb.com/title/tt0848537/",2013,6.7,80791
"Now You See Me","tt1670345","http://www.imdb.com/title/tt1670345/",2013,7.3,397315
"The Hangover Part III","tt1951261","http://www.imdb.com/title/tt1951261/",2013,5.9,202974
"Goltzius and the Pelican Company","tt1851006","http://www.imdb.com/title/tt1851006/",2012,6.7,684
"Erased","tt1645155","http://www.imdb.com/title/tt1645155/",2012,6.1,22520
"Star Trek Into Darkness","tt1408101","http://www.imdb.com/title/tt1408101/",2013,7.8,368716
"Java Heat","tt2083231","http://www.imdb.com/title/tt2083231/",2013,5.2,4011
"What Richard Did","tt2092011","http://www.imdb.com/title/tt2092011/",2012,6.3,3154
"Mr Hockey: The Gordie Howe Story","tt0883391","http://www.imdb.com/title/tt0883391/",2013,6.8,574
"Iron Man 3","tt1300854","http://www.imdb.com/title/tt1300854/",2013,7.3,507057
"Love Is All You Need","tt1854236","http://www.imdb.com/title/tt1854236/",2012,6.6,9154
"The Purge","tt2184339","http://www.imdb.com/title/tt2184339/",2013,5.6,121523
"The Great Gatsby","tt1343092","http://www.imdb.com/title/tt1343092/",2013,7.3,333157
"The Numbers Station","tt1659338","http://www.imdb.com/title/tt1659338/",2013,5.6,14481
"The Big Wedding","tt1931435","http://www.imdb.com/title/tt1931435/",2013,5.6,34991
"Assassins Run","tt1502417","http://www.imdb.com/title/tt1502417/",2013,4.4,1044
"Lovestruck: The Musical","tt2246673","http://www.imdb.com/title/tt2246673/",2013,6.4,1398
"Remember Sunday","tt2770480","http://www.imdb.com/title/tt2770480/",2013,7,6198
"Mary and Martha","tt2284766","http://www.imdb.com/title/tt2284766/",2013,6.8,2035
"Call Me Crazy: A Five Film","tt2536846","http://www.imdb.com/title/tt2536846/",2013,7,1202
"Dark Minions","tt2584096","http://www.imdb.com/title/tt2584096/",2013,6,330
"Browsers","tt2584090","http://www.imdb.com/title/tt2584090/",2013,4,145
"Zombieland","tt2090440","http://www.imdb.com/title/tt2090440/",2013,5.9,6400
"Pawn","tt1551630","http://www.imdb.com/title/tt1551630/",2013,5.7,5544
"Onion News Empire","tt2584098","http://www.imdb.com/title/tt2584098/",2013,7,471
"Those Who Can't","tt2584174","http://www.imdb.com/title/tt2584174/",2013,7,529
"Supanatural","tt2584172","http://www.imdb.com/title/tt2584172/",2013,5.2,257
"Oblivion","tt1483013","http://www.imdb.com/title/tt1483013/",2013,7,357464
